Reference, Value, Footprint, Datasheet
"J15","SD_Card","Connectors:SD_Card_Receptacle",""
"R11","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R12","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R13","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R14","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"J1","AlimentacionGases","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J2","AlimentacionPM","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"C9","10uF","Capacitors_SMD:C_1206_HandSoldering",""
"R10","4k7","Resistors_SMD:R_0805_HandSoldering",""
"U2","AP1117-ADJ","TO_SOT_Packages_SMD:SOT-223-3_TabPin2",""
"C2","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C5","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"R2","220","Resistors_SMD:R_0805_HandSoldering",""
"J8","PICKIT3","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"J11","GPS/GPRS","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"R6","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R7","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"J6","POWER_MB","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"U3","PIC24FJ64GB002-I/P","Housings_SOIC:SOIC-28W_7.5x17.9mm_Pitch1.27mm",""
"D1","LED","LEDs:LED_0603_HandSoldering",""
"R8","220","Resistors_SMD:R_0805_HandSoldering",""
"D2","LED","LEDs:LED_0603_HandSoldering",""
"R9","220","Resistors_SMD:R_0805_HandSoldering",""
"R1","3.9K","Resistors_SMD:R_0805_HandSoldering",""
"R3","390","Resistors_SMD:R_0805_HandSoldering",""
"J7","TP_SCL","Connectors:PINTST",""
"J9","TP_SDA","Connectors:PINTST",""
"J10","TP_TX_PIC","Connectors:PINTST",""
"J12","TP_RX_PIC","Connectors:PINTST",""
"J13","TP_SDO","Connectors:PINTST",""
"J14","TP_SCK","Connectors:PINTST",""
"Y1","8MHz","Crystals:Crystal_SMD_HC49-SD_HandSoldering",""
"C10","33pF","Capacitors_SMD:C_1206_HandSoldering",""
"C11","33pF","Capacitors_SMD:C_1206_HandSoldering",""
"U1","LT1054","SMD_Packages:SO-16-L",""
"C1","100uF","Capacitors_SMD:C_1206_HandSoldering",""
"C4","22uF","Capacitors_SMD:C_1206_HandSoldering",""
"C3","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C6","47uF","Capacitors_SMD:C_1206_HandSoldering",""
"C7","47uF","Capacitors_SMD:C_1206_HandSoldering",""
"C8","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"Q2","BC817","TO_SOT_Packages_SMD:SOT-23",""
"R5","4.7k","Resistors_SMD:R_0805_HandSoldering",""
"J3","Datos_LORA","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"Q1","BC807","TO_SOT_Packages_SMD:SOT-23",""
"R4","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"J4","Salida_Bomba","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J5","Dato_Sensores","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
